buying	maint	doors	persons	lug_boot	safety
med	vhigh	2	4	med	med	dfs failed
low	high	4	4	small	low	dfs failed
high	vhigh	4	4	med	med	dfs failed
high	vhigh	4	more	big	low	dfs failed
low	high	3	more	med	low	dfs failed
med	high	2	more	small	high	dfs failed
vhigh	low	3	2	med	high	dfs failed
med	high	2	4	small	low	dfs failed
med	low	5more	4	small	med	dfs failed
med	low	5more	2	big	med	dfs failed
med	low	4	more	big	high	dfs failed
low	low	4	2	big	high	dfs failed
low	low	3	more	med	low	dfs failed
high	med	2	2	big	high	dfs failed
high	low	4	more	small	low	dfs failed
med	vhigh	3	4	med	med	dfs failed
low	low	3	more	small	high	dfs failed
vhigh	med	2	more	med	med	dfs failed
vhigh	low	4	more	big	high	dfs failed
vhigh	low	2	2	small	high	dfs failed
high	high	5more	2	big	med	dfs failed
high	med	5more	2	med	low	dfs failed
med	med	3	2	big	high	dfs failed
low	vhigh	5more	2	small	low	dfs failed
vhigh	vhigh	3	more	small	high	dfs failed
low	high	2	more	big	med	dfs failed
vhigh	vhigh	5more	more	small	high	dfs failed
high	low	5more	4	small	med	dfs failed
low	med	4	2	big	low	dfs failed
med	vhigh	3	2	small	med	dfs failed
med	high	4	more	small	med	dfs failed
vhigh	low	4	4	big	low	dfs failed
high	low	5more	4	big	med	dfs failed
low	vhigh	3	more	small	med	dfs failed
vhigh	low	5more	2	small	low	dfs failed
low	vhigh	2	2	med	med	dfs failed
med	med	4	4	big	low	dfs failed
med	high	4	more	big	high	dfs failed
high	high	5more	4	big	high	dfs failed
med	vhigh	4	more	med	low	dfs failed
low	med	3	4	small	high	dfs failed
vhigh	med	3	2	med	low	dfs failed
med	high	5more	more	big	med	dfs failed
med	med	2	4	small	high	dfs failed
high	high	3	2	med	med	dfs failed
high	med	4	4	med	high	dfs failed
vhigh	high	5more	2	small	high	dfs failed
vhigh	vhigh	3	4	med	high	dfs failed
low	low	2	more	med	high	dfs failed
vhigh	high	4	2	med	high	dfs failed
high	vhigh	3	4	small	low	dfs failed
vhigh	med	4	4	med	med	dfs failed
vhigh	vhigh	2	4	med	low	dfs failed
med	med	5more	4	med	low	dfs failed
high	med	5more	more	big	low	dfs failed
low	vhigh	3	2	small	low	dfs failed
low	med	3	2	big	med	dfs failed
vhigh	med	3	2	small	high	dfs failed
vhigh	high	3	more	med	med	dfs failed
vhigh	low	3	2	big	high	dfs failed
high	high	2	2	small	high	dfs failed
low	vhigh	4	4	small	high	dfs failed
med	low	5more	2	small	low	dfs failed
med	high	2	2	big	low	dfs failed
med	high	2	4	big	low	dfs failed
high	vhigh	2	more	small	med	dfs failed
med	med	3	2	med	med	dfs failed
med	low	2	more	med	high	dfs failed
high	med	4	more	med	med	dfs failed
low	med	4	4	small	low	dfs failed
med	med	3	2	med	low	dfs failed
high	med	3	2	med	med	dfs failed
high	vhigh	5more	more	med	med	dfs failed
high	vhigh	2	2	small	med	dfs failed
vhigh	vhigh	4	more	small	low	dfs failed
low	low	4	more	big	high	dfs failed
low	low	5more	2	big	high	dfs failed
vhigh	med	2	4	big	low	dfs failed
vhigh	med	2	2	small	high	dfs failed
vhigh	high	5more	more	small	high	dfs failed
vhigh	low	5more	2	med	low	dfs failed
low	low	2	2	med	med	dfs failed
high	low	3	4	med	med	dfs failed
low	low	4	4	big	high	dfs failed
high	vhigh	2	more	med	low	dfs failed
high	high	4	more	big	high	dfs failed
med	vhigh	2	2	small	high	dfs failed
high	high	2	2	med	low	dfs failed
med	med	4	more	small	low	dfs failed
med	med	4	more	med	med	dfs failed
high	low	4	4	big	high	dfs failed
high	low	5more	4	small	low	dfs failed
low	low	3	2	small	high	dfs failed
med	low	2	4	big	high	dfs failed
low	high	2	4	small	high	dfs failed
med	med	2	2	big	high	dfs failed
vhigh	high	5more	more	big	high	dfs failed
vhigh	med	4	more	big	low	dfs failed
low	vhigh	4	more	small	med	dfs failed
high	low	4	2	big	low	dfs failed
med	vhigh	5more	4	small	high	dfs failed
high	high	4	more	small	med	dfs failed
high	med	4	2	med	high	dfs failed
med	vhigh	2	more	med	low	dfs failed
vhigh	low	3	2	small	med	dfs failed
low	med	5more	4	small	med	dfs failed
med	vhigh	4	2	med	high	dfs failed
med	vhigh	3	2	small	low	dfs failed
vhigh	med	4	2	big	high	dfs failed
high	vhigh	3	2	small	low	dfs failed
med	high	5more	2	small	med	dfs failed
low	vhigh	5more	2	big	med	dfs failed
med	med	3	2	big	low	dfs failed
high	vhigh	3	4	big	med	dfs failed
vhigh	vhigh	5more	more	small	low	dfs failed
high	vhigh	4	4	med	high	dfs failed
med	high	3	more	small	low	dfs failed
vhigh	vhigh	3	4	small	low	dfs failed
low	vhigh	2	more	small	low	dfs failed
med	vhigh	3	more	small	high	dfs failed
med	low	5more	more	big	high	dfs failed
high	high	4	more	big	med	dfs failed
